left,top,right,bottom,centerx,centery,duration
16,,,,,,
13,17,252,203,104,118,0.07f
272,17,490,203,104,117,0.07f
514,15,737,203,104,113,0.07f
758,14,986,203,104,112,0.07f
1013,13,1246,203,104,114,0.07f
1267,17,1511,203,104,112,0.07f
1533,18,1784,203,104,114,0.07f
1813,18,2069,203,104,117,0.07f
2103,17,2342,203,104,118,0.07f
2370,16,2588,204,104,118,0.07f
2617,15,2840,203,104,114,0.07f
2871,14,3099,203,104,113,0.07f
3125,13,3358,203,104,116,0.07f
3386,17,3630,203,104,111,0.07f
3651,18,3902,203,104,115,0.07f
3925,18,4181,203,104,117,0.07f
