left,top,right,bottom,centerx,centery,duration,,,,,,,,,
6 ,,,,,,,,,,,,,,,
9 ,35 ,134 ,150 ,52 ,69 ,0.07f,,,,,,,,,
151 ,36 ,275 ,150 ,51 ,68 ,0.07f,,,,,,,,,
294 ,37 ,420 ,150 ,53 ,67 ,0.07f,,,,,,,,,
438 ,38 ,562 ,150 ,51 ,66 ,0.07f,,,,,,,,,
577 ,36 ,702 ,150 ,52 ,68 ,0.07f,,,,,,,,,
716 ,34 ,840 ,150 ,51 ,70 ,0.07f,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,76 ,,,,,,,,,,
,,,,,75 ,,,,,,,,,,
,,,,,74 ,,,,,,,,,,
,,,,,73 ,,,,,,,,,,
,,,,,75 ,,,,,,,,,,
,,,,,77 ,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
